No.,Varietas,Panjang,Besar,Warna,Rasa,Teknik,Musim,Penyakit,PH,Grade Mutu
3696,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
3697,panda wangi,6.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
3698,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
3699,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
3700,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
3701,Beras Merah,7.2,1.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3702,Beras Hitam,7.3,6.5,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3703,panda wangi,6,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
3704,ciheran,7.1,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
3705,mi kongga,6.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
3706,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
3707,Beras Merah,7.4,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
3708,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
3709,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3710,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3711,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
3712,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
3713,Beras Merah,7.2,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
3714,Beras Hitam,7.4,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3715,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
3716,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,Burung,5,Grade C
3717,mi kongga,6.3,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
3718,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
3719,Beras Merah,7.5,5.1,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
3720,Beras Hitam,7.3,6.3,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
3721,panda wangi,6.5,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
3722,ciheran,7.5,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3723,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
3724,IR 64,6.5,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
3725,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
3726,Beras Hitam,7.1,6.4,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3727,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
3728,ciheran,7.3,2.4,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
3729,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
3730,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
3731,Beras Merah,7.5,5.2,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
3732,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
3733,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
3734,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3735,mi kongga,6.4,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
3736,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,Burung,4,Grade C
3737,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
3738,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
3739,panda wangi,6.4,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
3740,ciheran,7.3,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
3741,mi kongga,6.5,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
3742,IR 64,6.6,4.5,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
3743,Beras Merah,7.2,5.5,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
3744,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
3745,panda wangi,6.6,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
3746,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3747,mi kongga,6.1,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
3748,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
3749,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3750,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
3751,panda wangi,6.1,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
3752,ciheran,7.4,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
3753,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
3754,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
3755,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
3756,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
3757,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
3758,ciheran,7.5,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
3759,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
3760,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
3761,Beras Merah,7.1,5.1,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3762,Beras Hitam,7.5,6.3,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
3763,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
3764,ciheran,7.4,2.3,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
3765,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
3766,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
3767,Beras Merah,7.3,5.1,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
3768,Beras Hitam,7.2,6.3,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
3769,panda wangi,6.1,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3770,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
3771,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
3772,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
3773,Beras Merah,7.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
3774,Beras Hitam,7.2,6.4,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3775,panda wangi,6.1,1.1,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
3776,ciheran,7.3,2.4,putih,pulen,SRI,Kemarau,Burung,3,Grade D
3777,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
3778,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
3779,Beras Merah,7.4,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
3780,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
3781,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3782,ciheran,7.4,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
3783,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
3784,IR 64,6.1,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
3785,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3786,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3787,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
3788,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
3789,mi kongga,6.3,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
3790,IR 64,6.4,4.5,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
3791,Beras Merah,7.5,5.5,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
3792,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
3793,panda wangi,6.5,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
3794,ciheran,7.5,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3795,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
3796,IR 64,6.5,4.2,putih,pulen,SRI,Hujan,Burung,2,Grade C
3797,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3798,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
3799,panda wangi,6.3,1.4,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
3800,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,tikus,3,Grade D
3801,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
3802,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
3803,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
3804,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
3805,panda wangi,6.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3806,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3807,mi kongga,6.4,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
3808,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
3809,Beras Merah,7.2,1.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3810,Beras Hitam,7.4,6.5,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3811,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
3812,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
3813,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
3814,IR 64,6.6,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
3815,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
3816,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
3817,panda wangi,6.6,1.4,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
3818,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
3819,mi kongga,6.1,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
3820,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
3821,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3822,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3823,panda wangi,6.2,1.3,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
3824,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
3825,mi kongga,6.3,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
3826,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
3827,Beras Merah,7.2,1.2,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
3828,Beras Hitam,7.1,6.5,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
3829,panda wangi,6.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3830,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3831,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
3832,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
3833,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
3834,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3835,panda wangi,6.2,1.4,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
3836,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,Burung,5,Grade C
3837,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
3838,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
3839,Beras Merah,7.1,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
3840,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
3841,panda wangi,6.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
3842,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3843,mi kongga,6.1,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
3844,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
3845,Beras Merah,7.5,1.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
3846,Beras Hitam,7.1,6.5,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3847,panda wangi,6,1.2,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
3848,ciheran,7.1,2.2,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
3849,mi kongga,6.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
3850,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
3851,Beras Merah,7.4,5.3,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
3852,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
3853,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
3854,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3855,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
3856,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,Burung,4,Grade C
3857,Beras Merah,7.2,5.1,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
3858,Beras Hitam,7.4,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
3859,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
3860,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
3861,mi kongga,6.3,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
3862,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
3863,Beras Merah,6,5.1,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
3864,Beras Hitam,7.1,6.3,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
3865,panda wangi,6.3,1.1,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
3866,ciheran,6.3,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3867,mi kongga,7.4,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
3868,IR 64,7.3,4.3,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
3869,Beras Merah,6.3,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3870,Beras Hitam,7.1,6.4,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
3871,panda wangi,6.5,1.1,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
3872,ciheran,6.3,2.4,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
3873,mi kongga,7.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
3874,IR 64,7.4,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
3875,Beras Merah,6.2,5.2,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
3876,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
3877,panda wangi,6.1,1.4,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
3878,ciheran,6.1,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
3879,mi kongga,7.3,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
3880,IR 64,7.5,4.3,putih,pulen,SRI,Hujan,tikus,4,Grade C
3881,Beras Merah,6.3,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3882,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
3883,panda wangi,6.2,1.1,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
3884,ciheran,6.4,2.3,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
3885,mi kongga,7.5,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
3886,IR 64,7.2,4.5,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
3887,Beras Merah,6.4,5.5,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
3888,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
3889,panda wangi,6.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3890,ciheran,6.3,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
3891,mi kongga,7.2,3.3,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
3892,IR 64,7.4,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
3893,Beras Merah,6.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
3894,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3895,panda wangi,6.5,1.4,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
3896,ciheran,6.6,2.2,putih,pulen,SRI,Kemarau,Burung,3,Grade D
3897,mi kongga,7.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
3898,IR 64,7.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
3899,Beras Merah,6.6,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
3900,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
3901,panda wangi,6.1,1.2,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3902,ciheran,6.4,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
3903,mi kongga,7.5,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
3904,IR 64,7.3,4.2,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
3905,Beras Merah,6.3,5.1,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3906,Beras Hitam,7.2,6.3,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3907,panda wangi,6.5,1.2,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
3908,ciheran,6.4,2.3,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
3909,mi kongga,7.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
3910,IR 64,7.4,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
3911,Beras Merah,6.1,5.1,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
3912,Beras Hitam,7.3,6.3,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
3913,panda wangi,6.5,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
3914,ciheran,6.4,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
3915,mi kongga,7.2,3.3,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
3916,IR 64,7.1,4.3,putih,pulen,SRI,Hujan,Burung,2,Grade C
3917,Beras Merah,6.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3918,Beras Hitam,7.1,6.4,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
3919,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
3920,ciheran,6.4,2.4,putih,pulen,SRI,Kemarau,tikus,3,Grade D
3921,mi kongga,7.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
3922,IR 64,7.3,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
3923,Beras Merah,6.5,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
3924,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
3925,panda wangi,6.2,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3926,ciheran,6.5,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
3927,mi kongga,7.2,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
3928,IR 64,7.1,4.3,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
3929,Beras Merah,6.3,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3930,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3931,panda wangi,6.2,1.1,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
3932,ciheran,6.4,2.3,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
3933,mi kongga,7.5,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
3934,IR 64,7.2,4.5,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
3935,Beras Merah,6.4,5.5,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
3936,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
3937,panda wangi,6.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
3938,ciheran,6.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
3939,mi kongga,7.2,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
3940,IR 64,7.4,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
3941,Beras Merah,6.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3942,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3943,panda wangi,6.5,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
3944,ciheran,6.6,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
3945,mi kongga,7.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
3946,IR 64,7.3,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
3947,Beras Merah,6.6,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
3948,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
3949,panda wangi,6.1,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3950,ciheran,6.4,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
3951,mi kongga,7.5,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
3952,IR 64,7.3,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
3953,Beras Merah,6.1,1.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
3954,Beras Hitam,7.4,6.5,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
3955,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
3956,ciheran,6.4,2.2,putih,pulen,SRI,Kemarau,Burung,5,Grade C
3957,mi kongga,7.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
3958,IR 64,7.5,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
3959,Beras Merah,6.3,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
3960,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
3961,panda wangi,6.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
3962,ciheran,6.2,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3963,mi kongga,7.1,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
3964,IR 64,7.5,4.2,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
3965,Beras Merah,6.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
3966,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
3967,panda wangi,6.4,1.3,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
3968,ciheran,6.2,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
3969,mi kongga,7.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
3970,IR 64,7.3,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
